title,genre,background,combined
Crayon Shin-chan,"Slice of Life, Comedy, Ecchi, School, Seinen","The first English dubbed version was produced with many famous voice actors through 2001&ndash;2002 by Vitello Productions. In 2004, Phuuz Entertainment produced a continuation of the Vitello dub with different Los Angeles-based voice actors. The Phuuz and Vitello dub aired in the United Kingdom, Australia, and Republic of Ireland, and translations of these dubs aired in Europe and Latin America. The dubs were close to the original but had seen some censorship. The English dubbed version by Funimation was produced in 2005, featuring a Texas-based cast of voice actors, and was altered in comparison to the original&mdash;sexual references, dark humor, and references to popular American culture were added later on. Additionally, many non-existent backstories and different personalities were created.Crayon Shin-chan has also been adapted into video games, mobile games and tons of anime movies.","Slice of Life, Comedy, Ecchi, School, Seinen The first English dubbed version was produced with many famous voice actors through 2001&ndash;2002 by Vitello Productions. In 2004, Phuuz Entertainment produced a continuation of the Vitello dub with different Los Angeles-based voice actors. The Phuuz and Vitello dub aired in the United Kingdom, Australia, and Republic of Ireland, and translations of these dubs aired in Europe and Latin America. The dubs were close to the original but had seen some censorship. The English dubbed version by Funimation was produced in 2005, featuring a Texas-based cast of voice actors, and was altered in comparison to the original&mdash;sexual references, dark humor, and references to popular American culture were added later on. Additionally, many non-existent backstories and different personalities were created.Crayon Shin-chan has also been adapted into video games, mobile games and tons of anime movies."
Fruits Basket,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo",Fruits Basket won the 2001 Animage&#039;s Anime Grand Prix Award. ,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo Fruits Basket won the 2001 Animage&#039;s Anime Grand Prix Award. "
One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen","Several anime-original arcs have been adapted into light novels, and the series has inspired 40 video games as of 2016.","Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen Several anime-original arcs have been adapted into light novels, and the series has inspired 40 video games as of 2016."
InuYasha,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen","The anime won the &ldquo;Property of the Year&rdquo; award in ICv2&rsquo;s Anime Awards for both 2004 and 2005, and received third place in Animage&rsquo;s Anime Grand Prix &ldquo;Best Anime&rdquo; category in 2003.","Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen The anime won the &ldquo;Property of the Year&rdquo; award in ICv2&rsquo;s Anime Awards for both 2004 and 2005, and received third place in Animage&rsquo;s Anime Grand Prix &ldquo;Best Anime&rdquo; category in 2003."
Accel World,"Action, Game, Sci-Fi, Romance, School","Accel World adapts the first 4 novels of Reki Kawahara&#039;s light novel series of the same title, as well as content from the 10th novel.","Action, Game, Sci-Fi, Romance, School Accel World adapts the first 4 novels of Reki Kawahara&#039;s light novel series of the same title, as well as content from the 10th novel."
Bakuman.,"Comedy, Drama, Romance, Shounen","Bakuman. was licensed by Media Blasters in North America, but only released  one 2-disc DVD containing the first 7 episodes, the rest of the releases were cancelled. ","Comedy, Drama, Romance, Shounen Bakuman. was licensed by Media Blasters in North America, but only released  one 2-disc DVD containing the first 7 episodes, the rest of the releases were cancelled. "
Cardcaptor Sakura,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",Cardcaptor Sakura won the Animage Grand Prix award for Best Anime in 1999.,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo Cardcaptor Sakura won the Animage Grand Prix award for Best Anime in 1999."
D.Gray-man Hallow,"Action, Adventure, Super Power, Demons, Shounen","D.Gray-man Hallow is based on Katsura Hoshino&#039;s manga series of the same title and adapts chapters 165 to 208 from the 17th to 23rd volumes. The anime was not released on Blu-ray or DVD. The first volumes were scheduled to start release in September 2016, but were indefinitely delayed to improve their quality. The release was later cancelled in March 2017.","Action, Adventure, Super Power, Demons, Shounen D.Gray-man Hallow is based on Katsura Hoshino&#039;s manga series of the same title and adapts chapters 165 to 208 from the 17th to 23rd volumes. The anime was not released on Blu-ray or DVD. The first volumes were scheduled to start release in September 2016, but were indefinitely delayed to improve their quality. The release was later cancelled in March 2017."
Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural",Juuni Kokuki adapts the first 7 novels of Fuyumi Ono&#039;s light novel series of the same title.,"Action, Adventure, Fantasy, Magic, Supernatural Juuni Kokuki adapts the first 7 novels of Fuyumi Ono&#039;s light novel series of the same title."
Death Billiards,"Game, Mystery, Psychological, Drama, Thriller","Death Billiards is one of the four anime works that each received 38 million yen (about US$480,000) from the ""2012 Young Animator Training Project."" Just like in 2010 and 2011, the animation labor group received 214.5 million yen (US$2.65 million) from the Japanese government&#039;s Agency for Cultural Affairs, and it distributed most of those funds to studios who train young animators on-the-job.The film was later expanded into the 2015 TV anime Death Parade.","Game, Mystery, Psychological, Drama, Thriller Death Billiards is one of the four anime works that each received 38 million yen (about US$480,000) from the ""2012 Young Animator Training Project."" Just like in 2010 and 2011, the animation labor group received 214.5 million yen (US$2.65 million) from the Japanese government&#039;s Agency for Cultural Affairs, and it distributed most of those funds to studios who train young animators on-the-job.The film was later expanded into the 2015 TV anime Death Parade."
Triage X,"Action, Adventure, Ecchi, Shounen","Episode 1 was previewed at a screening at Shinjuku Kadokawa Cinema on March 29, 2015. Regular broadcasting began on April 9, 2015.","Action, Adventure, Ecchi, Shounen Episode 1 was previewed at a screening at Shinjuku Kadokawa Cinema on March 29, 2015. Regular broadcasting began on April 9, 2015."
Duel Masters Movie 1: Yami no Shiro no Maryuuou,"Adventure, Kids","The film was released alongside the movie, ""Rockman.EXE: The Program of Light and Darkness"", as well as also featuring some special guest characters from Rockman.EXE.","Adventure, Kids The film was released alongside the movie, ""Rockman.EXE: The Program of Light and Darkness"", as well as also featuring some special guest characters from Rockman.EXE."
Space☆Dandy,"Sci-Fi, Space, Comedy","Space☆Dandy reunites a number of lead production staff members from Cowboy Bebop, including producer Masahiko Minami and director Shinichiro Watanabe. Its production involved as many as 70 animation creators and 20 musical artists as collaborators, with Watanabe insisting that artists could only use pre-1984 musical styles. Although character designer Yoshiyuki Itou is credited as an animation director, his designs were not standardized across the series, allowing for individual animators to express their style. The series was licensed in North America by Funimation.  Due to licensing issues, their initial simulcast used the instrumental track Cosmic Adventure by jazz band Mountain Mocha Kilimanjaro as the opening song. Viva Namida was used from the 8th episode onwards.","Sci-Fi, Space, Comedy Space☆Dandy reunites a number of lead production staff members from Cowboy Bebop, including producer Masahiko Minami and director Shinichiro Watanabe. Its production involved as many as 70 animation creators and 20 musical artists as collaborators, with Watanabe insisting that artists could only use pre-1984 musical styles. Although character designer Yoshiyuki Itou is credited as an animation director, his designs were not standardized across the series, allowing for individual animators to express their style. The series was licensed in North America by Funimation.  Due to licensing issues, their initial simulcast used the instrumental track Cosmic Adventure by jazz band Mountain Mocha Kilimanjaro as the opening song. Viva Namida was used from the 8th episode onwards."
Aoki Hagane no Arpeggio: Ars Nova,"Action, Sci-Fi, Seinen","Episode 1 was previewed at a screening in Oosaka on September 21, 2013. Regular broadcasting began on October 8, 2013.","Action, Sci-Fi, Seinen Episode 1 was previewed at a screening in Oosaka on September 21, 2013. Regular broadcasting began on October 8, 2013."
Denki-gai no Honya-san,"Comedy, Seinen, Slice of Life","The first half of Episode 1 was streamed in advance as a preview on September 23, 2014. on Niconico Live. Regular broadcasting began on October 2, 2014. ","Comedy, Seinen, Slice of Life The first half of Episode 1 was streamed in advance as a preview on September 23, 2014. on Niconico Live. Regular broadcasting began on October 2, 2014. "
Dragon Ball Super,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",The first 27 episodes are adaptations of the films Dragon Ball Z Movie 14: Kami to Kami (episodes 1-14) and Dragon Ball Z Movie 15: Fukkatsu no F (episodes 15-27).,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power The first 27 episodes are adaptations of the films Dragon Ball Z Movie 14: Kami to Kami (episodes 1-14) and Dragon Ball Z Movie 15: Fukkatsu no F (episodes 15-27)."
Yama no Susume,"Adventure, Slice of Life, Comedy",Yama no Susume adapts the 1st volume and part of the 2nd volume of siro&#039;s manga series of the same title.,"Adventure, Slice of Life, Comedy Yama no Susume adapts the 1st volume and part of the 2nd volume of siro&#039;s manga series of the same title."
Pokopon no Yukai na Saiyuuki,"Adventure, Fantasy, Kids, Magic, Martial Arts",Screened alongside Kero Kero Keroppi no Daibouken and Hello Kitty no Oyayubi-hime at the second Sanrio Sekai Meisaku Eigakan theatrical road show.(Source: AniDB),"Adventure, Fantasy, Kids, Magic, Martial Arts Screened alongside Kero Kero Keroppi no Daibouken and Hello Kitty no Oyayubi-hime at the second Sanrio Sekai Meisaku Eigakan theatrical road show.(Source: AniDB)"
Persona 4 the Animation,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School","Persona 4 the Animation, based on the popular 2008 PlayStation 2 game, was directed by Seiji Kishi, well-known from other game adaptations. ","Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School Persona 4 the Animation, based on the popular 2008 PlayStation 2 game, was directed by Seiji Kishi, well-known from other game adaptations. "
Ski Jumping Pairs: Road to Torino 2006,"Sports, Comedy",Winner of The Festival Choice Awards at the 2003 Toronto Japanese Short Film Festival; the Excellence Prize at the 7th Japan Media Arts Festival (2003) and the Special Award Winner at the 2005 Tokyo International Film Festival.,"Sports, Comedy Winner of The Festival Choice Awards at the 2003 Toronto Japanese Short Film Festival; the Excellence Prize at the 7th Japan Media Arts Festival (2003) and the Special Award Winner at the 2005 Tokyo International Film Festival."
Fairy Tail,"Action, Adventure, Comedy, Magic, Fantasy, Shounen","Fairy Tail won Animax Asia&#039;s Anime of the Year Award in 2010, and the Best Japanese Anime Award and Best French Dubbing Award at the 19th Anime & Manga Grand Prix in 2012.","Action, Adventure, Comedy, Magic, Fantasy, Shounen Fairy Tail won Animax Asia&#039;s Anime of the Year Award in 2010, and the Best Japanese Anime Award and Best French Dubbing Award at the 19th Anime & Manga Grand Prix in 2012."
Baku Ane: Otouto Shibocchau zo! The Animation,Hentai,"A director&#039;s cut was released in September 2017 which contains 5 minutes of additional footage, making a total runtime of 38 minutes.","Hentai A director&#039;s cut was released in September 2017 which contains 5 minutes of additional footage, making a total runtime of 38 minutes."
Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",This is Gainax&#039;s 20th anniversary work.,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi This is Gainax&#039;s 20th anniversary work."
Devilman Memorial,"Action, Horror, Demons, Supernatural",Originally released on VHS and Laser Disc in 1999 and has never been released on DVD. It was also included in the Devilman blu-ray box set.,"Action, Horror, Demons, Supernatural Originally released on VHS and Laser Disc in 1999 and has never been released on DVD. It was also included in the Devilman blu-ray box set."
Working&#039;!!,"Slice of Life, Comedy, Romance","The first episode received a preview airing on September 3, 2011. The regular television airing started on October 1, 2011. ","Slice of Life, Comedy, Romance The first episode received a preview airing on September 3, 2011. The regular television airing started on October 1, 2011. "
Ghiblies,Comedy,"The first was aired during a TV special about Ghibli, the second shown in theatres alongside &#039;The Cat Returns&#039;. Note that the animation studio in these shorts is not spelled ジブリ (hepburn: &#039;jiburi&#039;), but ギブリ (hepburn: &#039;giburi&#039;), so pronounced with the hard &#039;gi&#039; of &#039;give&#039; rather than the &#039;ji&#039; of &#039;jigsaw&#039; used for Ghibli.(Source: AniDB)","Comedy The first was aired during a TV special about Ghibli, the second shown in theatres alongside &#039;The Cat Returns&#039;. Note that the animation studio in these shorts is not spelled ジブリ (hepburn: &#039;jiburi&#039;), but ギブリ (hepburn: &#039;giburi&#039;), so pronounced with the hard &#039;gi&#039; of &#039;give&#039; rather than the &#039;ji&#039; of &#039;jigsaw&#039; used for Ghibli.(Source: AniDB)"
Kiss x Sis (TV),"Harem, Comedy, Romance, Ecchi, School, Seinen",Episode 1 was pre-streamed on Bandai Channel on 25 March 2010.,"Harem, Comedy, Romance, Ecchi, School, Seinen Episode 1 was pre-streamed on Bandai Channel on 25 March 2010."
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,"Harem, Hentai","In 2013, the 3 episodes were released as a movie with approximately 1 minute of new content.","Harem, Hentai In 2013, the 3 episodes were released as a movie with approximately 1 minute of new content."
Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen","Since 2003, there has been a bi-annual musical that features different story arcs of the series. There also been a live action film based on the franchise.Prince of Tennis also has a lot of video game adaptations, a few Chinese dramas and a radio show based on the series. ","Action, Comedy, Sports, School, Shounen Since 2003, there has been a bi-annual musical that features different story arcs of the series. There also been a live action film based on the franchise.Prince of Tennis also has a lot of video game adaptations, a few Chinese dramas and a radio show based on the series. "
Tang Lang Bu Chan,Historical,"This short film was produced by Shanghai Animation Film Studio using Chinese ink wash painting technique. It is based on the ancient Chinese fable ""The mantis stalks the cicada, unaware of the oriole behind"".","Historical This short film was produced by Shanghai Animation Film Studio using Chinese ink wash painting technique. It is based on the ancient Chinese fable ""The mantis stalks the cicada, unaware of the oriole behind""."
Darker than Black: Kuro no Keiyakusha,"Action, Sci-Fi, Mystery, Super Power","Darker than Black was awarded Best Original Anime of The Year by GoGoplex, a popular magazine for teens.  In the 2007 Japan Media Arts Festival, it was one of the jury&#039;s recommendations from the category ""Animation Division/Long Animation.""On January 21, 2016, it was announced that Funimation Entertainment, the North American distributor for the anime, no longer holds the license for this season.","Action, Sci-Fi, Mystery, Super Power Darker than Black was awarded Best Original Anime of The Year by GoGoplex, a popular magazine for teens.  In the 2007 Japan Media Arts Festival, it was one of the jury&#039;s recommendations from the category ""Animation Division/Long Animation.""On January 21, 2016, it was announced that Funimation Entertainment, the North American distributor for the anime, no longer holds the license for this season."
Douluo Dalu,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy","Douluo Dalu is an adaptation of the Chinese web novel of the same title, written by Tang Jia San Shao (唐家三少).","Action, Adventure, Historical, Romance, Martial Arts, Fantasy Douluo Dalu is an adaptation of the Chinese web novel of the same title, written by Tang Jia San Shao (唐家三少)."
School Days,"Harem, Drama, Romance, School",School Days is based on the visual novel of the same name.,"Harem, Drama, Romance, School School Days is based on the visual novel of the same name."
Takarajima,"Adventure, Mystery, Historical, Drama","This is an anime adaptation of the classic novel ""Treasure Island"" written by Scottish novelist Robert Louis Stevenson in 1882.","Adventure, Mystery, Historical, Drama This is an anime adaptation of the classic novel ""Treasure Island"" written by Scottish novelist Robert Louis Stevenson in 1882."
One Piece Movie 1,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen",One Piece (Movie) was aired in theaters as a double feature alongside Digimon Adventure: Bokura no War Game as part of Toei&#039;s Spring 2000 Anime fair. ,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen One Piece (Movie) was aired in theaters as a double feature alongside Digimon Adventure: Bokura no War Game as part of Toei&#039;s Spring 2000 Anime fair. "
Ergo Proxy,"Sci-Fi, Mystery, Psychological","Episode 1 was previewed on WOWOW on February 5, 2006. Regular broadcasting began on February 25, 2006.","Sci-Fi, Mystery, Psychological Episode 1 was previewed on WOWOW on February 5, 2006. Regular broadcasting began on February 25, 2006."
Mo Dao Zu Shi,"Action, Adventure, Mystery, Comedy, Historical, Supernatural, Shounen Ai","Mo Dao Zu Shi is an adaptation of the Chinese web novel of the same title, written by Mo Xiang Tong Xiu (墨香铜臭).","Action, Adventure, Mystery, Comedy, Historical, Supernatural, Shounen Ai Mo Dao Zu Shi is an adaptation of the Chinese web novel of the same title, written by Mo Xiang Tong Xiu (墨香铜臭)."
Dragon Ball Z Movie 14: Kami to Kami,"Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power","The story of Dragon Ball Z Movie 14: Kami to Kami was later adapted into the Battle of Gods Saga in Dragon Ball Super. Unlike most other Dragon Ball Z movies, this film is considered part of the anime&#039;s canon. It was also the first Dragon Ball film to be released theatrically in 17 years.","Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power The story of Dragon Ball Z Movie 14: Kami to Kami was later adapted into the Battle of Gods Saga in Dragon Ball Super. Unlike most other Dragon Ball Z movies, this film is considered part of the anime&#039;s canon. It was also the first Dragon Ball film to be released theatrically in 17 years."
Kuroshitsuji II,"Action, Comedy, Demons, Supernatural, Fantasy, Shounen","Kuroshitsuji II is the sequel to Kuroshitsuji. The second season features two new main characters: Earl Alois Trancy and his butler Claude Faustus. Many characters from the previous season return as well, including Ciel Phantomhive and Sebastian Michaelis.The second season is formatted similar to its predecessor, airing on ten different stations. The second season had an official magazine, Black Tabloid, released before its on-air date on July 1, 2010. It was been compiled onto a total of nine DVD releases. All 12 episodes share the theme song SHIVER for the opening, but two different animation sequences accompany it; the first ran from episodes 25-32, while the second ran from episodes 33-36.(Source: Kuroshitsuji Wiki)","Action, Comedy, Demons, Supernatural, Fantasy, Shounen Kuroshitsuji II is the sequel to Kuroshitsuji. The second season features two new main characters: Earl Alois Trancy and his butler Claude Faustus. Many characters from the previous season return as well, including Ciel Phantomhive and Sebastian Michaelis.The second season is formatted similar to its predecessor, airing on ten different stations. The second season had an official magazine, Black Tabloid, released before its on-air date on July 1, 2010. It was been compiled onto a total of nine DVD releases. All 12 episodes share the theme song SHIVER for the opening, but two different animation sequences accompany it; the first ran from episodes 25-32, while the second ran from episodes 33-36.(Source: Kuroshitsuji Wiki)"
Juuou Mujin no Fafnir,"Fantasy, Harem, Romance, School",Juuou Mujin no Fafnir adapts the first 3 novels of Tsukasa&#039;s light novel series of the same title.,"Fantasy, Harem, Romance, School Juuou Mujin no Fafnir adapts the first 3 novels of Tsukasa&#039;s light novel series of the same title."
Non Non Biyori Repeat,"Comedy, School, Seinen, Slice of Life","Episode 1 was previewed at a screening at Hibiya Kokaido in Tokyo on June 14, 2015. Regular broadcasting began on July 7, 2015.","Comedy, School, Seinen, Slice of Life Episode 1 was previewed at a screening at Hibiya Kokaido in Tokyo on June 14, 2015. Regular broadcasting began on July 7, 2015."
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,"Action, Mystery, Horror, Psychological, School",Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen is an original story following the characters of the visual novel Super Danganronpa 2: Sayonara Zetsubou Gakuen before they arrived at the island. It is a prequel to SDR2.,"Action, Mystery, Horror, Psychological, School Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen is an original story following the characters of the visual novel Super Danganronpa 2: Sayonara Zetsubou Gakuen before they arrived at the island. It is a prequel to SDR2."
Futari Ecchi,"Comedy, Ecchi, Romance, Seinen, Slice of Life","The Futari Ecchi OVA covers the first few chapters of the manga adaptation, although the anime is less explicit than the source material. Media Blasters acquired licensing rights for North American home video distribution, which they announced at Anime Expo in 2007.","Comedy, Ecchi, Romance, Seinen, Slice of Life The Futari Ecchi OVA covers the first few chapters of the manga adaptation, although the anime is less explicit than the source material. Media Blasters acquired licensing rights for North American home video distribution, which they announced at Anime Expo in 2007."
Chuumon no Ooi Ryouriten (1991),"Horror, Supernatural, Fantasy",Winner of the 1991 Oofuji Noburou Award at the Mainichi Film Awards.,"Horror, Supernatural, Fantasy Winner of the 1991 Oofuji Noburou Award at the Mainichi Film Awards."
Hyakka Ryouran: Samurai Girls,"Action, Comedy, Ecchi, Harem, Samurai, School","Pre-airing on 4th of September, regular airing started on the 4th of October. Extended version of episode 12 is included in this entry.","Action, Comedy, Ecchi, Harem, Samurai, School Pre-airing on 4th of September, regular airing started on the 4th of October. Extended version of episode 12 is included in this entry."
Harmony,"Sci-Fi, Psychological","Winner of the Platinum Grand Prize during the 2016 Future Film Festival, held in Italy.","Sci-Fi, Psychological Winner of the Platinum Grand Prize during the 2016 Future Film Festival, held in Italy."
Tibet Inu Monogatari,Adventure,"Winner of the Platinum Grand Prize during the 2012 Future Film Festival, held in Italy.","Adventure Winner of the Platinum Grand Prize during the 2012 Future Film Festival, held in Italy."
Kokekkou-san,Kids,"This was a collaboration between Japan and South Korea. The CG animation production was completed in South Korea, and the series music and stories were written in Japan.","Kids This was a collaboration between Japan and South Korea. The CG animation production was completed in South Korea, and the series music and stories were written in Japan."
Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Slice of Life, Comedy","Ore no Imouto ga Konnani Kawaii Wake ga Nai also has a drama CD, a radio show and video games based on the franchise.","Slice of Life, Comedy Ore no Imouto ga Konnani Kawaii Wake ga Nai also has a drama CD, a radio show and video games based on the franchise."
The Snack World,"Adventure, Comedy, Kids, Fantasy",The film was aired alongside the second Youkai Watch movie.,"Adventure, Comedy, Kids, Fantasy The film was aired alongside the second Youkai Watch movie."
Hi no Youjin,"Historical, Slice of Life","Hi no Youjin won the Grand Prize at the 16th Japan Media Arts Festival and the 67th Noburou Oofuji Award at the 2012 Mainichi Film Awards. Winner of the Platinum Grand Prize during the 2014 Future Film Festival, held in Italy.","Historical, Slice of Life Hi no Youjin won the Grand Prize at the 16th Japan Media Arts Festival and the 67th Noburou Oofuji Award at the 2012 Mainichi Film Awards. Winner of the Platinum Grand Prize during the 2014 Future Film Festival, held in Italy."
Karneval (TV),"Action, Fantasy, Josei, Mystery, Sci-Fi","Frontier Works Inc. released a drama CD titled Karneval Circus on March 25, 2010. An internet radio show premiered on animate.tv on January 25, 2013, with the character voice of Nai, Hiro Shimono, as the host.","Action, Fantasy, Josei, Mystery, Sci-Fi Frontier Works Inc. released a drama CD titled Karneval Circus on March 25, 2010. An internet radio show premiered on animate.tv on January 25, 2013, with the character voice of Nai, Hiro Shimono, as the host."
Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space","Mobile Suit Gundam Unicorn was awarded the Tokyo Anime Award in the OVA category twice in a row, in 2011 and 2012.","Action, Drama, Mecha, Military, Sci-Fi, Space Mobile Suit Gundam Unicorn was awarded the Tokyo Anime Award in the OVA category twice in a row, in 2011 and 2012."
Bloodivores,"Action, Supernatural, Vampire",Bloodivores is based on the Chinese Webcomic Space-Time Prisoners by Bai Xiao,"Action, Supernatural, Vampire Bloodivores is based on the Chinese Webcomic Space-Time Prisoners by Bai Xiao"
Kamisama no Inai Nichiyoubi,"Fantasy, Mystery","Kamisama no Inai Nichiyoubi adapts the first 5 novels of Kimihito Irie&#039;s light novel series of the same title.Episode 1 was streamed in advance on DOCOMO d animestore on June 29, 2013. Regular broadcasting began on July 7, 2013. The series can be streamed on Crunchyroll or Anime Network. ","Fantasy, Mystery Kamisama no Inai Nichiyoubi adapts the first 5 novels of Kimihito Irie&#039;s light novel series of the same title.Episode 1 was streamed in advance on DOCOMO d animestore on June 29, 2013. Regular broadcasting began on July 7, 2013. The series can be streamed on Crunchyroll or Anime Network. "
Eureka Seven AO,"Action, Adventure, Drama, Mecha, Sci-Fi","Eureka Seven Ao premiered with the launch of the new digital over-the-air television system NOTTV on April 1.The series finished airing in its time slot with episode 22 on Sept 28, 2012.  Episodes 23 & 24 were aired together on Nov 20, 2012.","Action, Adventure, Drama, Mecha, Sci-Fi Eureka Seven Ao premiered with the launch of the new digital over-the-air television system NOTTV on April 1.The series finished airing in its time slot with episode 22 on Sept 28, 2012.  Episodes 23 & 24 were aired together on Nov 20, 2012."
